date,precip,t2m,rh2m,wind,rad,ps
1984-01-01,0.16,11.96,56.12,2.26,14.3,83.94
1984-01-02,19.85,11.42,81.29,1.96,9.2,83.84
1984-01-03,0.08,11.19,83.93,3.05,3.89,83.79
1984-01-04,0.0,13.02,81.29,2.47,12.41,83.91
1984-01-05,0.0,15.3,74.24,2.24,14.14,83.91
1984-01-06,0.44,15.74,77.77,1.76,15.5,83.77
1984-01-07,0.07,15.94,72.54,1.61,15.9,83.71
1984-01-08,0.0,16.19,75.32,2.71,14.62,83.7
1984-01-09,0.0,14.86,59.45,2.45,17.49,83.57
1984-01-10,0.01,13.13,60.21,2.79,17.51,83.49
1984-01-11,0.04,11.15,73.23,3.72,15.13,83.45
1984-01-12,0.0,12.5,73.97,2.3,17.16,83.51
1984-01-13,0.0,14.32,71.46,2.75,14.39,83.65
1984-01-14,0.0,15.62,65.91,1.62,17.96,83.76
1984-01-15,0.0,16.19,60.63,2.47,20.04,83.71
1984-01-16,0.0,15.97,58.92,2.64,20.03,83.53
1984-01-17,0.0,15.34,64.49,2.87,19.66,83.53
1984-01-18,0.0,16.88,56.1,1.26,19.64,83.72
1984-01-19,0.0,15.29,56.7,2.21,17.13,83.71
1984-01-20,0.0,16.01,50.38,2.04,9.64,83.68
1984-01-21,0.0,15.95,53.78,2.56,17.33,83.65
1984-01-22,0.0,14.98,69.96,2.95,15.36,83.69
1984-01-23,0.02,16.17,62.98,2.31,12.73,83.63
1984-01-24,0.0,15.47,65.17,3.4,11.08,83.37
1984-01-25,0.0,13.43,75.48,4.19,16.44,83.27
1984-01-26,0.0,14.05,69.13,2.89,18.72,83.43
1984-01-27,0.0,15.36,63.11,2.16,18.77,83.58
1984-01-28,0.0,15.24,64.41,1.61,17.15,83.6
1984-01-29,3.21,14.88,73.88,1.55,17.04,83.54
1984-01-30,0.48,15.55,74.77,2.76,3.15,83.48
1984-01-31,0.0,15.98,73.74,2.64,13.3,83.54
1984-02-01,0.0,16.96,67.52,2.05,19.31,83.54
1984-02-02,0.0,17.08,61.15,2.09,21.37,83.52
1984-02-03,0.0,17.11,55.45,2.24,17.84,83.47
1984-02-04,0.53,17.27,48.12,1.94,21.13,83.4
1984-02-05,0.7,15.35,54.58,1.94,17.07,83.4
1984-02-06,2.24,14.67,66.63,2.86,19.58,83.52
1984-02-07,0.75,13.91,69.78,3.04,16.57,83.63
1984-02-08,3.11,14.77,65.93,1.93,18.91,83.71
1984-02-09,0.11,15.73,58.67,2.11,15.23,83.71
1984-02-10,0.0,16.35,55.84,2.66,17.77,83.65
1984-02-11,0.0,15.56,61.04,3.24,19.97,83.5
1984-02-12,0.0,14.92,58.62,2.17,20.41,83.42
1984-02-13,0.0,17.2,39.27,1.62,19.77,83.39
1984-02-14,0.0,16.23,51.33,2.58,22.18,83.44
1984-02-15,0.0,17.46,44.97,1.78,14.08,83.57
1984-02-16,0.0,18.7,45.89,2.39,22.3,83.53
1984-02-17,0.0,18.03,52.54,2.84,20.55,83.56
1984-02-18,0.0,18.57,43.04,2.84,21.42,83.4
1984-02-19,0.0,18.05,44.91,2.67,19.68,83.4
1984-02-20,0.0,16.8,48.45,3.43,21.77,83.33
1984-02-21,0.0,15.76,47.5,3.86,22.13,83.23
1984-02-22,0.0,17.21,45.29,3.23,23.66,83.28
1984-02-23,0.0,16.86,48.41,2.72,22.25,83.37
1984-02-24,0.0,17.01,47.85,2.13,19.14,83.38
1984-02-25,0.0,17.41,40.83,3.33,23.52,83.27
1984-02-26,0.0,15.79,36.62,2.85,24.39,83.13
1984-02-27,0.0,14.22,35.4,3.38,21.84,83.37
1984-02-28,0.0,13.59,43.46,4.3,23.63,83.67
1984-02-29,0.0,14.41,52.02,2.91,22.14,83.64
1984-03-01,0.0,16.83,59.24,3.14,23.25,83.52
1984-03-02,0.0,17.0,44.21,2.46,22.11,83.49
1984-03-03,0.0,17.88,41.54,2.59,23.28,83.42
1984-03-04,0.0,15.95,44.93,2.28,22.65,83.41
1984-03-05,0.0,15.87,40.25,3.32,21.15,83.36
1984-03-06,0.0,15.94,45.96,2.56,21.57,83.43
1984-03-07,0.0,17.69,40.77,2.11,23.85,83.61
1984-03-08,0.0,17.71,35.7,2.33,21.97,83.72
1984-03-09,0.0,18.82,33.41,2.81,24.25,83.64
1984-03-10,0.0,19.11,31.58,1.92,23.83,83.54
1984-03-11,0.0,18.83,32.88,2.68,22.31,83.43
1984-03-12,0.0,18.72,29.66,2.74,24.06,83.46
1984-03-13,0.08,19.22,31.1,2.14,18.9,83.69
1984-03-14,0.0,20.93,35.94,2.17,21.03,83.71
1984-03-15,0.0,21.02,43.31,1.62,22.41,83.68
1984-03-16,0.83,21.07,47.93,1.78,21.89,83.65
1984-03-17,0.0,18.65,60.65,1.62,18.84,83.73
1984-03-18,0.0,21.68,43.99,2.98,23.05,83.43
1984-03-19,0.0,19.97,34.34,3.16,24.61,83.29
1984-03-20,0.0,19.03,34.81,2.71,21.09,83.31
1984-03-21,0.09,18.21,35.62,2.81,19.53,83.39
1984-03-22,0.0,18.0,40.24,4.41,25.31,83.42
1984-03-23,0.0,17.76,32.09,2.48,25.23,83.46
1984-03-24,0.0,18.29,33.94,2.15,25.51,83.39
1984-03-25,0.0,18.46,30.03,2.02,28.03,83.34
1984-03-26,0.0,19.63,25.3,2.43,16.58,83.34
1984-03-27,0.0,19.84,38.69,3.25,24.62,83.28
1984-03-28,0.0,20.94,37.01,2.93,26.64,83.21
1984-03-29,0.0,20.76,38.26,3.21,26.06,83.35
1984-03-30,0.0,21.16,34.49,3.46,28.11,83.53
1984-03-31,0.0,20.54,38.99,2.98,25.59,83.59
1984-04-01,0.0,21.1,37.39,3.7,27.7,83.49
1984-04-02,0.0,20.13,46.33,3.97,25.68,83.49
1984-04-03,0.0,21.04,40.94,3.04,27.26,83.51
1984-04-04,0.0,21.7,37.89,2.35,27.25,83.48
1984-04-05,0.08,22.04,39.42,2.93,27.94,83.48
1984-04-06,0.01,21.97,46.57,3.37,26.71,83.52
1984-04-07,0.0,20.8,42.01,4.7,27.47,83.53
1984-04-08,0.0,21.48,32.53,2.45,28.61,83.42
1984-04-09,0.0,22.26,32.3,2.9,27.75,83.34
1984-04-10,0.0,21.15,28.11,2.65,25.27,83.34
1984-04-11,0.0,21.94,24.67,3.34,27.43,83.3
1984-04-12,0.0,20.73,25.89,2.74,26.56,83.35
1984-04-13,0.0,20.75,26.06,3.11,26.33,83.36
1984-04-14,0.0,21.3,26.15,2.65,26.17,83.37
1984-04-15,0.0,21.08,31.06,3.13,27.29,83.38
1984-04-16,0.0,20.9,33.68,1.88,27.45,83.45
1984-04-17,0.0,21.8,38.7,2.6,25.32,83.54
1984-04-18,0.0,21.97,43.06,3.2,21.82,83.64
1984-04-19,0.0,22.68,32.59,2.73,26.8,83.52
1984-04-20,0.0,21.1,31.18,3.42,27.25,83.37
1984-04-21,0.0,21.73,28.01,2.92,22.56,83.38
1984-04-22,0.0,22.83,30.12,2.41,22.75,83.38
1984-04-23,0.0,24.19,32.86,2.43,26.05,83.34
1984-04-24,0.0,23.36,35.83,2.46,27.13,83.43
1984-04-25,0.0,22.97,36.11,3.68,27.33,83.42
1984-04-26,0.0,23.13,36.6,3.58,24.65,83.39
1984-04-27,0.0,23.59,33.88,3.02,25.71,83.45
1984-04-28,0.0,24.12,33.74,3.02,23.08,83.53
1984-04-29,0.0,24.01,38.03,2.97,25.23,83.56
1984-04-30,0.0,25.04,32.57,2.45,23.5,83.56
1984-05-01,0.0,24.46,35.19,2.82,26.24,83.61
1984-05-02,0.0,24.1,34.66,3.52,25.01,83.53
1984-05-03,0.0,23.7,27.63,3.01,26.26,83.38
1984-05-04,0.06,23.34,20.14,2.36,24.54,83.31
1984-05-05,0.0,23.57,21.29,2.74,22.88,83.33
1984-05-06,0.01,23.6,28.75,2.63,20.73,83.44
1984-05-07,0.0,24.31,30.21,2.62,20.58,83.52
1984-05-08,2.76,24.47,36.03,4.23,20.37,83.6
1984-05-09,1.88,22.72,42.85,3.68,23.82,83.72
1984-05-10,3.4,22.46,44.86,3.27,23.79,83.55
1984-05-11,1.05,22.18,53.96,2.22,17.1,83.51
1984-05-12,3.17,19.26,61.17,1.89,20.17,83.6
1984-05-13,1.63,19.49,56.74,1.3,20.03,83.61
1984-05-14,0.96,20.69,52.03,3.44,20.06,83.44
1984-05-15,0.06,21.15,49.11,2.93,26.21,83.39
1984-05-16,0.0,21.11,42.74,3.0,25.41,83.44
1984-05-17,0.02,21.81,40.62,2.11,23.59,83.52
1984-05-18,0.04,22.69,38.11,2.49,23.61,83.62
1984-05-19,0.33,23.16,34.92,3.27,24.89,83.59
1984-05-20,0.01,22.43,31.96,3.58,25.83,83.44
1984-05-21,0.0,22.42,29.78,2.84,26.76,83.34
1984-05-22,0.12,23.3,28.65,1.38,25.32,83.48
1984-05-23,1.52,24.57,37.89,1.89,23.91,83.59
1984-05-24,1.14,24.57,43.0,1.91,25.87,83.53
1984-05-25,3.27,24.04,48.29,2.03,21.02,83.34
1984-05-26,2.24,23.72,54.87,1.14,22.85,83.28
1984-05-27,1.56,24.17,52.25,1.74,22.91,83.39
1984-05-28,0.16,23.99,50.38,2.73,22.34,83.49
1984-05-29,0.0,21.6,45.41,8.08,21.46,83.66
1984-05-30,0.01,21.41,46.37,6.8,28.83,83.62
1984-05-31,0.03,21.81,37.85,4.01,26.78,83.56
1984-06-01,7.12,23.03,44.72,2.46,20.51,83.53
1984-06-02,1.42,23.5,52.38,2.61,24.23,83.6
1984-06-03,0.22,22.54,52.28,2.93,23.03,83.49
1984-06-04,0.35,22.69,47.85,3.05,23.66,83.34
1984-06-05,0.24,22.77,47.24,2.67,24.19,83.34
1984-06-06,7.54,23.02,48.83,2.14,27.45,83.48
1984-06-07,6.29,22.64,53.65,2.06,24.52,83.59
1984-06-08,3.46,22.96,56.13,2.38,24.96,83.51
1984-06-09,13.48,21.86,67.94,2.64,23.75,83.39
1984-06-10,10.42,21.49,69.48,1.69,20.44,83.37
1984-06-11,14.67,20.89,73.6,2.41,22.94,83.38
1984-06-12,10.15,19.24,83.09,1.89,19.99,83.39
1984-06-13,11.82,21.08,72.68,1.55,17.97,83.42
1984-06-14,6.64,22.11,67.7,2.98,15.68,83.42
1984-06-15,4.28,21.72,68.81,2.49,18.09,83.5
1984-06-16,11.14,20.78,74.13,2.76,20.1,83.53
1984-06-17,9.03,19.73,78.29,1.64,19.67,83.52
1984-06-18,17.13,20.83,75.67,1.97,19.3,83.42
1984-06-19,11.64,19.83,80.45,2.32,20.24,83.5
1984-06-20,11.73,19.35,79.8,1.68,19.57,83.62
1984-06-21,23.55,19.91,80.21,1.78,18.74,83.58
1984-06-22,5.86,19.23,78.33,2.12,19.2,83.57
1984-06-23,6.49,19.39,74.52,1.6,18.35,83.62
1984-06-24,3.8,19.47,78.01,1.49,22.97,83.73
1984-06-25,1.38,21.3,67.87,2.31,23.89,83.68
1984-06-26,4.39,20.62,70.76,1.97,15.07,83.56
1984-06-27,3.65,20.63,74.29,1.84,21.21,83.52
1984-06-28,2.55,19.13,82.64,1.96,22.55,83.68
1984-06-29,15.94,19.62,81.53,1.62,20.6,83.66
1984-06-30,13.03,19.71,81.34,1.87,20.19,83.51
1984-07-01,13.81,19.68,80.74,2.13,16.04,83.42
1984-07-02,10.72,18.87,81.94,2.49,16.19,83.49
1984-07-03,4.54,17.88,85.77,2.19,13.36,83.62
1984-07-04,2.92,17.92,83.1,2.78,6.74,83.55
1984-07-05,1.9,18.18,85.3,2.17,15.04,83.41
1984-07-06,20.65,18.76,85.01,2.77,12.78,83.4
1984-07-07,1.59,19.45,80.71,2.58,18.86,83.44
1984-07-08,6.93,17.78,82.85,3.0,25.26,83.55
1984-07-09,7.74,19.01,81.22,2.77,10.56,83.47
1984-07-10,22.9,18.3,85.69,3.91,4.53,83.55
1984-07-11,17.88,18.3,84.53,2.44,12.58,83.47
1984-07-12,5.95,18.51,83.76,1.69,17.59,83.26
1984-07-13,22.78,18.22,81.86,1.87,10.29,83.43
1984-07-14,11.7,18.26,83.48,2.85,12.93,83.69
1984-07-15,5.02,18.53,79.88,2.43,23.65,83.79
1984-07-16,9.07,18.76,81.24,2.05,16.12,83.66
1984-07-17,3.3,19.22,71.4,0.81,18.27,83.6
1984-07-18,2.19,18.86,75.22,1.6,22.72,83.66
1984-07-19,2.79,18.88,80.96,1.27,18.46,83.75
1984-07-20,3.22,20.15,75.4,1.37,22.6,83.62
1984-07-21,2.0,19.95,77.79,2.22,16.46,83.55
1984-07-22,2.59,18.98,83.45,1.48,20.98,83.58
1984-07-23,7.04,19.84,77.85,1.75,20.75,83.54
1984-07-24,4.61,18.9,78.17,2.33,20.61,83.56
1984-07-25,7.73,17.5,88.0,2.08,20.68,83.59
1984-07-26,7.19,18.76,81.12,2.4,19.6,83.63
1984-07-27,0.83,19.2,79.81,2.39,21.61,83.63
1984-07-28,2.46,20.13,75.52,2.15,16.87,83.59
1984-07-29,1.49,20.29,73.92,2.36,13.29,83.58
1984-07-30,2.63,19.77,75.24,2.94,25.19,83.47
1984-07-31,1.89,19.05,76.16,2.6,24.84,83.47
1984-08-01,1.24,19.42,77.76,2.18,15.66,83.53
1984-08-02,1.53,21.13,69.0,2.04,25.39,83.6
1984-08-03,1.82,20.68,73.64,2.61,26.83,83.51
1984-08-04,9.29,19.54,78.6,2.91,23.01,83.4
1984-08-05,4.38,19.5,80.34,2.6,25.89,83.5
1984-08-06,1.44,18.48,83.47,3.19,13.2,83.64
1984-08-07,8.26,18.83,79.68,1.63,18.85,83.65
